<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.09	23:00:00	61722.08	61881.03	61641.83	61686.02	2638	0	1000
2026.06.09	23:30:00	61686.02	61751.63	61547.46	61726.63	2569	0	1000
2026.06.10	00:00:00	61731.15	61894.12	61690.82	61851.31	2680	0	1000
2026.06.10	00:30:00	61851.72	61939.84	61436.23	61913.82	3431	0	1000
2026.06.10	01:00:00	61913.81	61980.31	61669.47	61832.26	3426	0	1000
2026.06.10	01:30:00	61832.18	61895.55	61575.77	61710.15	3183	0	1000
2026.06.10	02:00:00	61710.46	61839.84	61336.75	61496.92	3257	0	1000
2026.06.10	02:30:00	61496.89	61552.90	61230.68	61302.54	2993	0	1000
2026.06.10	03:00:00	61302.54	61595.77	61277.64	61564.66	2683	0	1000
2026.06.10	03:30:00	61564.70	61591.64	61433.97	61549.36	2404	0	1000
2026.06.10	04:00:00	61549.68	61565.66	61434.45	61467.41	2194	0	1000
2026.06.10	04:30:00	61467.40	61467.40	61183.70	61297.68	2838	0	1000
2026.06.10	05:00:00	61298.82	61322.69	61069.86	61263.27	2671	0	1000
2026.06.10	05:30:00	61264.56	61397.28	61181.26	61352.71	2407	0	1000
2026.06.10	06:00:00	61352.85	61488.26	61284.29	61343.35	2476	0	1000
2026.06.10	06:30:00	61343.36	61521.96	61136.96	61465.15	2474	0	1000
2026.06.10	07:00:00	61464.88	61719.13	61429.70	61643.00	2661	0	1000
2026.06.10	07:30:00	61643.00	61799.70	61552.37	61688.48	2564	0	1000
2026.06.10	08:00:00	61688.45	61739.18	61482.29	61544.17	2943	0	1000
2026.06.10	08:30:00	61544.17	61610.97	61156.37	61260.23	2917	0	1000
2026.06.10	09:00:00	61260.21	61320.00	60726.39	61206.41	3707	0	1000
2026.06.10	09:30:00	61206.41	61427.78	61149.44	61334.47	2963	0	1000
2026.06.10	10:00:00	61337.14	61363.85	61140.36	61332.39	2700	0	1000
2026.06.10	10:30:00	61332.38	61457.30	61257.69	61382.35	2445	0	1000
2026.06.10	11:00:00	61384.54	61436.56	60851.01	60959.25	5086	0	1000
2026.06.10	11:30:00	60966.17	61112.23	60914.37	61024.92	3173	0	1000
