<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.31	23:00:00	23170.39	23193.89	23150.00	23165.84	3293	0	203
2025.07.31	23:30:00	23166.14	23186.19	23158.66	23183.23	2472	0	201
2025.08.01	00:00:00	23182.79	23187.70	23116.48	23133.17	3596	0	201
2025.08.01	00:30:00	23132.99	23173.89	23129.17	23164.66	2827	0	201
2025.08.01	01:00:00	23164.74	23204.17	23156.99	23198.70	2572	0	203
2025.08.01	01:30:00	23198.12	23212.41	23196.01	23207.00	1944	0	203
2025.08.01	02:00:00	23207.20	23220.17	23199.26	23211.60	1484	0	202
2025.08.01	02:30:00	23211.06	23223.71	23201.15	23217.12	1154	0	202
2025.08.01	03:00:00	23217.42	23223.71	23211.41	23221.04	976	0	201
2025.08.01	03:30:00	23221.19	23226.67	23187.00	23188.08	1243	0	200
2025.08.01	04:00:00	23187.92	23205.70	23179.69	23199.47	1231	0	201
2025.08.01	04:30:00	23199.87	23204.93	23190.98	23203.34	996	0	201
2025.08.01	05:00:00	23203.19	23209.11	23189.55	23191.75	1193	0	202
2025.08.01	05:30:00	23191.53	23199.36	23175.19	23177.54	1637	0	203
2025.08.01	06:00:00	23177.42	23181.16	23145.42	23146.25	2088	0	204
2025.08.01	06:30:00	23145.77	23163.91	23140.00	23153.38	2294	0	202
2025.08.01	07:00:00	23152.98	23163.01	23069.02	23069.14	5217	0	199
2025.08.01	07:30:00	23068.57	23086.75	23012.70	23054.58	6368	0	202
2025.08.01	08:00:00	23054.79	23056.83	22956.26	22968.18	5446	0	199
2025.08.01	08:30:00	22968.22	23012.87	22947.99	22999.45	5013	0	200
2025.08.01	09:00:00	22999.10	23025.23	22978.03	22978.73	3683	0	201
2025.08.01	09:30:00	22979.16	23018.61	22971.67	23009.88	3264	0	200
2025.08.01	10:00:00	23009.71	23009.71	22967.89	22986.16	3143	0	201
2025.08.01	10:30:00	22985.65	22989.58	22916.16	22939.61	4053	0	201
2025.08.01	11:00:00	22939.91	22996.15	22936.13	22987.99	3562	0	199
2025.08.01	11:30:00	22988.20	23013.94	22983.72	23010.01	2834	0	200
2025.08.01	12:00:00	23009.59	23022.40	22993.51	23007.00	3234	0	200
2025.08.01	12:30:00	23003.21	23052.05	22944.97	22949.39	9327	0	202
2025.08.01	13:00:00	22949.87	22983.34	22931.25	22971.93	5844	0	201
2025.08.01	13:30:00	22972.18	22979.47	22743.71	22766.88	27724	0	195
2025.08.01	14:00:00	22764.22	22869.13	22684.25	22868.89	21251	0	196
2025.08.01	14:30:00	22869.16	22906.63	22804.07	22814.49	17740	0	196
2025.08.01	15:00:00	22815.24	22843.44	22785.02	22787.91	12870	0	194
